2025-03-26 21:13:03,110 - INFO - Running conjugate priors for file: Psychomotor_Healthy
2025-03-26 21:13:03,116 - INFO - Number of biomarkers: 10
2025-03-26 21:14:18,930 - INFO - Iteration 2000/20000, Acceptance Ratio: 25.20%, Log Likelihood: -5160.0158, Current Accepted Order: dict_values([np.int64(1), np.int64(10), np.int64(3), np.int64(9), np.int64(2), np.int64(7), np.int64(4), np.int64(8), np.int64(5), np.int64(6)]), 
2025-03-26 21:15:10,082 - INFO - Iteration 4000/20000, Acceptance Ratio: 22.80%, Log Likelihood: -5142.7953, Current Accepted Order: dict_values([np.int64(2), np.int64(10), np.int64(3), np.int64(4), np.int64(1), np.int64(5), np.int64(7), np.int64(8), np.int64(9), np.int64(6)]), 
2025-03-26 21:16:01,390 - INFO - Iteration 6000/20000, Acceptance Ratio: 23.08%, Log Likelihood: -5130.0490, Current Accepted Order: dict_values([np.int64(3), np.int64(2), np.int64(1), np.int64(4), np.int64(5), np.int64(8), np.int64(6), np.int64(9), np.int64(10), np.int64(7)]), 
2025-03-26 21:17:00,780 - INFO - Iteration 8000/20000, Acceptance Ratio: 23.85%, Log Likelihood: -5129.4441, Current Accepted Order: dict_values([np.int64(3), np.int64(4), np.int64(5), np.int64(1), np.int64(2), np.int64(6), np.int64(8), np.int64(10), np.int64(9), np.int64(7)]), 
2025-03-26 21:18:05,837 - INFO - Iteration 10000/20000, Acceptance Ratio: 23.99%, Log Likelihood: -5129.8631, Current Accepted Order: dict_values([np.int64(1), np.int64(4), np.int64(5), np.int64(3), np.int64(2), np.int64(6), np.int64(8), np.int64(10), np.int64(9), np.int64(7)]), 
2025-03-26 21:19:02,297 - INFO - Iteration 12000/20000, Acceptance Ratio: 24.38%, Log Likelihood: -5132.1167, Current Accepted Order: dict_values([np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(5), np.int64(7), np.int64(6), np.int64(9), np.int64(10), np.int64(8)]), 
2025-03-26 21:20:03,195 - INFO - Iteration 14000/20000, Acceptance Ratio: 24.60%, Log Likelihood: -5129.8782, Current Accepted Order: dict_values([np.int64(4), np.int64(5), np.int64(3), np.int64(1), np.int64(2), np.int64(6), np.int64(8), np.int64(10), np.int64(9), np.int64(7)]), 
2025-03-26 21:21:06,780 - INFO - Iteration 16000/20000, Acceptance Ratio: 24.76%, Log Likelihood: -5129.6918, Current Accepted Order: dict_values([np.int64(1), np.int64(4), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(9), np.int64(10), np.int64(8)]), 
2025-03-26 21:22:05,859 - INFO - Iteration 18000/20000, Acceptance Ratio: 25.02%, Log Likelihood: -5129.6396, Current Accepted Order: dict_values([np.int64(1), np.int64(5), np.int64(3), np.int64(2), np.int64(4), np.int64(6), np.int64(7), np.int64(9), np.int64(10), np.int64(8)]), 
2025-03-26 21:23:04,487 - INFO - Iteration 20000/20000, Acceptance Ratio: 25.13%, Log Likelihood: -5129.8117, Current Accepted Order: dict_values([np.int64(4), np.int64(5), np.int64(2), np.int64(1), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(10), np.int64(7)]), 
2025-03-26 21:23:06,398 - INFO - Results saved to conjugate_priors/results/Psychomotor_Healthy_results.json
