2025-03-26 21:13:05,029 - INFO - Running conjugate priors for file: Global_Stroke
2025-03-26 21:13:05,033 - INFO - Number of biomarkers: 10
2025-03-26 21:14:55,969 - INFO - Iteration 2000/20000, Acceptance Ratio: 24.05%, Log Likelihood: -5032.6326, Current Accepted Order: dict_values([np.int64(6), np.int64(8), np.int64(9), np.int64(7), np.int64(10), np.int64(2), np.int64(3), np.int64(1), np.int64(5), np.int64(4)]), 
2025-03-26 21:16:38,648 - INFO - Iteration 4000/20000, Acceptance Ratio: 21.57%, Log Likelihood: -5035.4859, Current Accepted Order: dict_values([np.int64(10), np.int64(7), np.int64(9), np.int64(8), np.int64(6), np.int64(2), np.int64(3), np.int64(1), np.int64(5), np.int64(4)]), 
2025-03-26 21:18:28,723 - INFO - Iteration 6000/20000, Acceptance Ratio: 20.20%, Log Likelihood: -5024.1345, Current Accepted Order: dict_values([np.int64(10), np.int64(2), np.int64(1), np.int64(9), np.int64(8), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(5)]), 
2025-03-26 21:20:09,605 - INFO - Iteration 8000/20000, Acceptance Ratio: 17.41%, Log Likelihood: -5025.2023, Current Accepted Order: dict_values([np.int64(8), np.int64(2), np.int64(1), np.int64(10), np.int64(9), np.int64(4), np.int64(3), np.int64(6), np.int64(7), np.int64(5)]), 
2025-03-26 21:22:01,464 - INFO - Iteration 10000/20000, Acceptance Ratio: 15.88%, Log Likelihood: -5023.3976, Current Accepted Order: dict_values([np.int64(9), np.int64(2), np.int64(1), np.int64(10), np.int64(8), np.int64(5), np.int64(4), np.int64(7), np.int64(3), np.int64(6)]), 
2025-03-26 21:23:42,520 - INFO - Iteration 12000/20000, Acceptance Ratio: 14.64%, Log Likelihood: -5025.4497, Current Accepted Order: dict_values([np.int64(10), np.int64(2), np.int64(1), np.int64(9), np.int64(8), np.int64(4), np.int64(3), np.int64(6), np.int64(7), np.int64(5)]), 
2025-03-26 21:25:22,198 - INFO - Iteration 14000/20000, Acceptance Ratio: 13.64%, Log Likelihood: -5024.2159, Current Accepted Order: dict_values([np.int64(10), np.int64(2), np.int64(1), np.int64(8), np.int64(9), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(5)]), 
2025-03-26 21:27:01,674 - INFO - Iteration 16000/20000, Acceptance Ratio: 13.04%, Log Likelihood: -5030.3914, Current Accepted Order: dict_values([np.int64(9), np.int64(2), np.int64(10), np.int64(8), np.int64(7), np.int64(4), np.int64(3), np.int64(6), np.int64(1), np.int64(5)]), 
2025-03-26 21:28:48,959 - INFO - Iteration 18000/20000, Acceptance Ratio: 12.76%, Log Likelihood: -5027.5437, Current Accepted Order: dict_values([np.int64(8), np.int64(2), np.int64(1), np.int64(10), np.int64(9), np.int64(3), np.int64(4), np.int64(7), np.int64(5), np.int64(6)]), 
2025-03-26 21:30:40,806 - INFO - Iteration 20000/20000, Acceptance Ratio: 12.30%, Log Likelihood: -5025.2512, Current Accepted Order: dict_values([np.int64(10), np.int64(2), np.int64(1), np.int64(9), np.int64(8), np.int64(5), np.int64(4), np.int64(7), np.int64(3), np.int64(6)]), 
2025-03-26 21:30:42,457 - INFO - Results saved to conjugate_priors/results/Global_Stroke_results.json
