2025-03-26 22:50:23,613 - INFO - Running conjugate priors for file: Psychomotor_All
2025-03-26 22:50:23,617 - INFO - Number of biomarkers: 10
2025-03-26 22:51:20,246 - INFO - Iteration 2000/20000, Acceptance Ratio: 20.55%, Log Likelihood: -5236.9202, Current Accepted Order: dict_values([np.int64(10), np.int64(9), np.int64(2), np.int64(1), np.int64(4), np.int64(7), np.int64(3), np.int64(8), np.int64(5), np.int64(6)]), 
2025-03-26 22:52:16,808 - INFO - Iteration 4000/20000, Acceptance Ratio: 18.60%, Log Likelihood: -5239.8441, Current Accepted Order: dict_values([np.int64(9), np.int64(10), np.int64(1), np.int64(3), np.int64(2), np.int64(7), np.int64(5), np.int64(8), np.int64(4), np.int64(6)]), 
2025-03-26 22:53:05,953 - INFO - Iteration 6000/20000, Acceptance Ratio: 18.63%, Log Likelihood: -5235.7175, Current Accepted Order: dict_values([np.int64(10), np.int64(9), np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(3), np.int64(8), np.int64(5), np.int64(6)]), 
2025-03-26 22:53:59,995 - INFO - Iteration 8000/20000, Acceptance Ratio: 18.44%, Log Likelihood: -5236.1137, Current Accepted Order: dict_values([np.int64(10), np.int64(9), np.int64(2), np.int64(3), np.int64(4), np.int64(1), np.int64(5), np.int64(8), np.int64(6), np.int64(7)]), 
2025-03-26 22:54:52,355 - INFO - Iteration 10000/20000, Acceptance Ratio: 18.53%, Log Likelihood: -5236.3689, Current Accepted Order: dict_values([np.int64(9), np.int64(10), np.int64(5), np.int64(1), np.int64(6), np.int64(4), np.int64(3), np.int64(2), np.int64(7), np.int64(8)]), 
2025-03-26 22:55:50,203 - INFO - Iteration 12000/20000, Acceptance Ratio: 18.67%, Log Likelihood: -5235.4965, Current Accepted Order: dict_values([np.int64(9), np.int64(10), np.int64(1), np.int64(2), np.int64(4), np.int64(8), np.int64(3), np.int64(5), np.int64(6), np.int64(7)]), 
2025-03-26 22:56:49,296 - INFO - Iteration 14000/20000, Acceptance Ratio: 18.80%, Log Likelihood: -5234.0534, Current Accepted Order: dict_values([np.int64(9), np.int64(10), np.int64(2), np.int64(3), np.int64(4), np.int64(8), np.int64(1), np.int64(5), np.int64(6), np.int64(7)]), 
2025-03-26 22:57:48,533 - INFO - Iteration 16000/20000, Acceptance Ratio: 18.59%, Log Likelihood: -5235.0164, Current Accepted Order: dict_values([np.int64(10), np.int64(9), np.int64(2), np.int64(3), np.int64(4), np.int64(7), np.int64(1), np.int64(8), np.int64(5), np.int64(6)]), 
2025-03-26 22:58:48,797 - INFO - Iteration 18000/20000, Acceptance Ratio: 18.42%, Log Likelihood: -5235.4481, Current Accepted Order: dict_values([np.int64(9), np.int64(10), np.int64(4), np.int64(2), np.int64(5), np.int64(7), np.int64(1), np.int64(3), np.int64(6), np.int64(8)]), 
2025-03-26 22:59:46,910 - INFO - Iteration 20000/20000, Acceptance Ratio: 18.23%, Log Likelihood: -5214.4449, Current Accepted Order: dict_values([np.int64(10), np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(7), np.int64(4), np.int64(8), np.int64(6), np.int64(9)]), 
2025-03-26 22:59:48,364 - INFO - Results saved to conjugate_priors/results/Psychomotor_All_results.json
